athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
1929,12,Duffy Colin,USA,semi-final,1T3z 1 8,12,4,FALSE,7,TRUE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,qualification,2T5z 3 8,15,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,qualification,2T5z 3 8,15,2,FALSE,4,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,qualification,2T5z 3 8,15,3,FALSE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,qualification,2T5z 3 8,15,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,qualification,2T5z 3 8,15,5,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,semi-final,1T3z 2 4,13,1,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,semi-final,1T3z 2 4,13,2,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,semi-final,1T3z 2 4,13,3,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2101,13,LEE Dohyun,KOR,semi-final,1T3z 2 4,13,4,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,qualification,3T5z 10 12,9,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,qualification,3T5z 10 12,9,2,TRUE,4,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,qualification,3T5z 10 12,9,3,FALSE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,qualification,3T5z 10 12,9,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,qualification,3T5z 10 12,9,5,TRUE,5,TRUE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,semi-final,1T3z 5 10,14,1,TRUE,5,TRUE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
